;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
1236;CHEMBL40270;nM;12000.0;CC(=O)Oc1cc(OC(C)=O)c2c(c1)C(=O)c1ccc(C)c(OC(C)=O)c1C2=O;4.920818753952375;396.08451747199996;8;0;2.5463200000000006;yes
1238;CHEMBL73833;nM;12000.0;CC1(C)S[C@@H]2[C@H](NC(=O)C(F)(F)F)C(=O)N2[C@H]1C(=O)OCc1ccccc1;4.920818753952375;402.086112684;5;1;1.8392;yes
1239;CHEMBL10318;nM;12000.0;CC(C(=O)O)c1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C;4.920818753952375;354.146723804;4;1;4.0572000000000035;yes
1240;CHEMBL40878;nM;12000.0;CCCCOC(=O)Oc1cccc2c1C(=O)c1c(OC(=O)OCCCC)cccc1C2=O;4.920818753952375;440.14711772799996;8;0;5.093000000000005;yes
1241;CHEMBL2409424;nM;12500.0;Cc1cccc(C(=O)n2nc(C(N)=O)c3ccccc32)c1;4.903089986991943;279.100776656;4;1;2.1321200000000005;yes
1242;CHEMBL4282252;nM;12600.0;N#Cc1ccc(C(=O)n2cc(C#N)c3cccnc32)cc1;4.8996294548824375;272.069810876;5;0;2.46816;yes
1243;CHEMBL151;nM;12700.0;O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4.896196279044043;286.04773804;6;4;2.2824000000000004;yes
1244;CHEMBL125796;nM;12800.0;C=CC[C@@H]1C(=O)O[C@H]2CCN(C(=O)OCc3ccccc3)C21;4.892790030352131;301.131408088;4;0;2.515200000000001;yes
1246;CHEMBL41539;nM;13000.0;COc1cc(OC)c2c(c1)C(=O)c1ccc(C)c(O)c1C2=O;4.886056647693163;298.084123548;5;1;2.4932200000000013;yes
1248;CHEMBL41525;nM;13000.0;O=C1c2cccc(O)c2C(=O)c2c1ccc(Cc1ccccc1)c2O;4.886056647693163;330.08920892799995;4;2;3.4640000000000017;yes
1249;CHEMBL44247;nM;13000.0;CC(=O)Oc1cc(OC(C)=O)c2c(c1)C(=O)c1cc(C)cc(OC(C)=O)c1C2=O;4.886056647693163;396.08451747199996;8;0;2.5463200000000006;yes
1250;CHEMBL4167043;nM;13600.0;C=C(C)C(O)CC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1cc(O)c(OC)c(O)c1)O2;4.866461091629782;470.1940679199999;8;5;4.430100000000006;yes
1251;CHEMBL2182019;nM;14000.0;CCCCNC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccc2ccccc2c1)[C@@H](C)CC;4.853871964321762;524.336255888;4;4;3.476600000000004;yes
1252;CHEMBL302630;nM;14000.0;CC1(C)[C@H](C(=O)OCc2ccccc2)N2C(=O)[C@H](Cl)[C@H]2S1(=O)=O;4.853871964321762;357.043771292;5;0;1.0811000000000002;yes
1254;CHEMBL50;nM;14300.0;O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4.844663962534939;302.04265266;7;5;1.988;yes
